Daily Death,Daily Recovered
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,2
0,0
0,1
0,2
0,2
0,7
0,6
0,3
0,11
0,13
0,12
1,13
2,16
1,17
0,22
1,30
1,36
0,28
0,34
0,25
0,81
0,52
0,61
0,65
0,58
0,40
0,26
0,49
0,32
0,48
0,29
0,47
0,5
0,44
0,19
0,20
0,14
0,9
0,0
0,5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,0
1,0
0,2
0,0
0,0
0,1
0,4
0,0
0,3
0,11
0,1
0,7
0,2
1,1
0,3
0,7
1,4
0,8
0,13
0,11
1,18
0,10
0,6
0,8
0,23
0,8
0,16
0,9
0,11
0,9
0,17
0,20
1,13
2,9
1,14
0,5
0,6
0,6
0,9
0,0
0,2
0,4
0,5
0,7
0,5
0,6
0,8
0,8
0,7
0,4
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
1,2
1,4
0,2
0,0
0,6
0,9
0,7
0,8
0,12
0,15
1,13
0,23
1,26
1,24
0,32
0,23
0,18
0,29
0,20
1,25
0,17
0,12
0,7
0,14
0,23
0,12
0,17
0,21
0,16
0,12
0,19
0,21
0,12
0,10
0,1
0,13
0,1
0,15
0,5
0,7
0,10
0,2
0,3
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,2
0,8
0,3
0,6
0,4
0,11
0,4
0,6
0,8
0,4
0,6
0,8
0,11
0,8
0,3
0,19
1,14
0,23
0,13
0,8
0,13
0,16
0,19
0,10
0,7
0,8
0,4
0,8
0,5
0,10
0,7
0,7
0,11
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3
0,0
0,1
0,2
0,0
0,3
1,3
1,4
0,1
0,7
0,7
0,8
0,0
0,10
0,5
0,4
0,4
0,3
0,6
0,5
0,0
0,2
0,2
0,0
0,1
0,0
0,1
0,0
0,2
0,1
0,1
0,1
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,1
0,2
0,0
0,2
0,0
0,0
0,0
0,2
0,0
0,1
0,5
0,1
0,3
0,1
0,6
0,9
0,19
0,20
1,19
0,24
0,29
0,26
0,45
0,63
1,39
0,48
0,48
0,55
2,59
0,41
1,41
0,36
0,48
0,38
1,27
0,31
1,36
0,29
0,39
0,45
0,48
0,33
0,43
0,42
0,32
0,48
0,35
0,21
0,19
1,4
0,14
0,8
0,7
0,7
0,3
0,5
0,0
0,0
0,0
0,0
0,0
0,0
0,2
0,0
0,0
0,0
0,0
0,0
