Province/State,Observation Date,Confirmed,Daily Confirmed,Deaths,Recovered,Latitude,Longitude,Country/Region
Anhui,22-01-2020,1,1,0,0,32,117,Mainland China
Anhui,23-01-2020,9,8,0,0,32,117,Mainland China
Anhui,24-01-2020,15,6,0,0,32,117,Mainland China
Anhui,25-01-2020,39,24,0,0,32,117,Mainland China
Anhui,26-01-2020,60,21,0,0,32,117,Mainland China
Anhui,27-01-2020,70,10,0,0,32,117,Mainland China
Anhui,28-01-2020,106,36,0,0,32,117,Mainland China
Anhui,29-01-2020,152,46,0,2,32,117,Mainland China
Anhui,30-01-2020,200,48,0,2,32,117,Mainland China
Anhui,31-01-2020,237,37,0,3,32,117,Mainland China
Anhui,01-02-2020,297,60,0,5,32,117,Mainland China
Anhui,02-02-2020,340,43,0,7,32,117,Mainland China
Anhui,03-02-2020,408,68,0,14,32,117,Mainland China
Anhui,04-02-2020,480,72,0,20,32,117,Mainland China
Anhui,05-02-2020,530,50,0,23,32,117,Mainland China
Anhui,06-02-2020,591,61,0,34,32,117,Mainland China
Anhui,07-02-2020,665,74,0,47,32,117,Mainland China
Anhui,08-02-2020,733,68,0,59,32,117,Mainland China
Anhui,09-02-2020,779,46,1,72,32,117,Mainland China
Anhui,10-02-2020,830,51,3,88,32,117,Mainland China
Anhui,11-02-2020,860,30,4,105,32,117,Mainland China
Anhui,12-02-2020,889,29,4,127,32,117,Mainland China
Anhui,13-02-2020,910,21,5,157,32,117,Mainland China
Anhui,14-02-2020,934,24,6,193,32,117,Mainland China
Anhui,15-02-2020,950,16,6,221,32,117,Mainland China
Anhui,16-02-2020,962,12,6,255,32,117,Mainland China
Anhui,17-02-2020,973,11,6,280,32,117,Mainland China
Anhui,18-02-2020,982,9,6,361,32,117,Mainland China
Anhui,19-02-2020,986,4,6,413,32,117,Mainland China
Anhui,20-02-2020,987,1,6,474,32,117,Mainland China
Anhui,21-02-2020,988,1,6,539,32,117,Mainland China
Anhui,22-02-2020,989,1,6,597,32,117,Mainland China
Anhui,23-02-2020,989,0,6,637,32,117,Mainland China
Anhui,24-02-2020,989,0,6,663,32,117,Mainland China
Anhui,25-02-2020,989,0,6,712,32,117,Mainland China
Anhui,26-02-2020,989,0,6,744,32,117,Mainland China
Anhui,27-02-2020,989,0,6,792,32,117,Mainland China
Anhui,28-02-2020,990,1,6,821,32,117,Mainland China
Anhui,29-02-2020,990,0,6,868,32,117,Mainland China
Anhui,01-03-2020,990,0,6,873,32,117,Mainland China
Anhui,02-03-2020,990,0,6,917,32,117,Mainland China
Anhui,03-03-2020,990,0,6,936,32,117,Mainland China
Anhui,04-03-2020,990,0,6,956,32,117,Mainland China
Anhui,05-03-2020,990,0,6,970,32,117,Mainland China
Anhui,06-03-2020,990,0,6,979,32,117,Mainland China
Anhui,07-03-2020,990,0,6,979,32,117,Mainland China
Anhui,08-03-2020,990,0,6,984,32,117,Mainland China
Anhui,09-03-2020,990,0,6,984,32,117,Mainland China
Anhui,10-03-2020,990,0,6,984,32,117,Mainland China
Anhui,11-03-2020,990,0,6,984,32,117,Mainland China
Anhui,12-03-2020,990,0,6,984,32,117,Mainland China
Anhui,13-03-2020,990,0,6,984,32,117,Mainland China
Anhui,14-03-2020,990,0,6,984,32,117,Mainland China
Anhui,15-03-2020,990,0,6,984,32,117,Mainland China
Beijing,22-01-2020,14,14,0,0,39.906217,116.3912757,Mainland China
Beijing,23-01-2020,22,8,0,0,39.906217,116.3912757,Mainland China
Beijing,24-01-2020,36,14,0,1,39.906217,116.3912757,Mainland China
Beijing,25-01-2020,41,5,0,2,39.906217,116.3912757,Mainland China
Beijing,26-01-2020,68,27,0,2,39.906217,116.3912757,Mainland China
Beijing,27-01-2020,80,12,1,2,39.906217,116.3912757,Mainland China
Beijing,28-01-2020,91,11,1,4,39.906217,116.3912757,Mainland China
Beijing,29-01-2020,111,20,1,4,39.906217,116.3912757,Mainland China
Beijing,30-01-2020,114,3,1,4,39.906217,116.3912757,Mainland China
Beijing,31-01-2020,139,25,1,5,39.906217,116.3912757,Mainland China
Beijing,01-02-2020,168,29,1,9,39.906217,116.3912757,Mainland China
Beijing,02-02-2020,191,23,1,9,39.906217,116.3912757,Mainland China
Beijing,03-02-2020,212,21,1,12,39.906217,116.3912757,Mainland China
Beijing,04-02-2020,228,16,1,23,39.906217,116.3912757,Mainland China
Beijing,05-02-2020,253,25,1,24,39.906217,116.3912757,Mainland China
Beijing,06-02-2020,274,21,1,31,39.906217,116.3912757,Mainland China
Beijing,07-02-2020,297,23,1,33,39.906217,116.3912757,Mainland China
Beijing,08-02-2020,315,18,2,34,39.906217,116.3912757,Mainland China
Beijing,09-02-2020,326,11,2,37,39.906217,116.3912757,Mainland China
Beijing,10-02-2020,337,11,2,44,39.906217,116.3912757,Mainland China
Beijing,11-02-2020,342,5,3,48,39.906217,116.3912757,Mainland China
Beijing,12-02-2020,352,10,3,56,39.906217,116.3912757,Mainland China
Beijing,13-02-2020,366,14,3,69,39.906217,116.3912757,Mainland China
Beijing,14-02-2020,372,6,3,80,39.906217,116.3912757,Mainland China
Beijing,15-02-2020,375,3,4,98,39.906217,116.3912757,Mainland China
