Province/State,Observation Date,Confirmed,Daily Confirmed,Deaths,Recovered,Daily Confirmed rate,Daily Death,Daily Recovered
Anhui,22-01-2020,1,1,0,0,1.0,0,0
Anhui,23-01-2020,9,8,0,0,0.8888888888888888,0,0
Anhui,24-01-2020,15,6,0,0,0.4,0,0
Anhui,25-01-2020,39,24,0,0,0.6153846153846154,0,0
Anhui,26-01-2020,60,21,0,0,0.35,0,0
Anhui,27-01-2020,70,10,0,0,0.14285714285714285,0,0
Anhui,28-01-2020,106,36,0,0,0.33962264150943394,0,0
Anhui,29-01-2020,152,46,0,2,0.3026315789473684,0,2
Anhui,30-01-2020,200,48,0,2,0.24,0,0
Anhui,31-01-2020,237,37,0,3,0.15611814345991562,0,1
Anhui,01-02-2020,297,60,0,5,0.20202020202020202,0,2
Anhui,02-02-2020,340,43,0,7,0.1264705882352941,0,2
Anhui,03-02-2020,408,68,0,14,0.16666666666666666,0,7
Anhui,04-02-2020,480,72,0,20,0.15,0,6
Anhui,05-02-2020,530,50,0,23,0.09433962264150944,0,3
Anhui,06-02-2020,591,61,0,34,0.10321489001692047,0,11
Anhui,07-02-2020,665,74,0,47,0.11127819548872181,0,13
Anhui,08-02-2020,733,68,0,59,0.0927694406548431,0,12
Anhui,09-02-2020,779,46,1,72,0.059050064184852376,1,13
Anhui,10-02-2020,830,51,3,88,0.06144578313253012,2,16
Anhui,11-02-2020,860,30,4,105,0.03488372093023256,1,17
Anhui,12-02-2020,889,29,4,127,0.03262092238470191,0,22
Anhui,13-02-2020,910,21,5,157,0.023076923076923078,1,30
Anhui,14-02-2020,934,24,6,193,0.02569593147751606,1,36
Anhui,15-02-2020,950,16,6,221,0.016842105263157894,0,28
Anhui,16-02-2020,962,12,6,255,0.012474012474012475,0,34
Anhui,17-02-2020,973,11,6,280,0.011305241521068859,0,25
Anhui,18-02-2020,982,9,6,361,0.009164969450101833,0,81
Anhui,19-02-2020,986,4,6,413,0.004056795131845842,0,52
Anhui,20-02-2020,987,1,6,474,0.0010131712259371835,0,61
Anhui,21-02-2020,988,1,6,539,0.0010121457489878543,0,65
Anhui,22-02-2020,989,1,6,597,0.0010111223458038423,0,58
Anhui,23-02-2020,989,0,6,637,0.0,0,40
Anhui,24-02-2020,989,0,6,663,0.0,0,26
Anhui,25-02-2020,989,0,6,712,0.0,0,49
Anhui,26-02-2020,989,0,6,744,0.0,0,32
Anhui,27-02-2020,989,0,6,792,0.0,0,48
Anhui,28-02-2020,990,1,6,821,0.00101010101010101,0,29
Anhui,29-02-2020,990,0,6,868,0.0,0,47
Anhui,01-03-2020,990,0,6,873,0.0,0,5
Anhui,02-03-2020,990,0,6,917,0.0,0,44
Anhui,03-03-2020,990,0,6,936,0.0,0,19
Anhui,04-03-2020,990,0,6,956,0.0,0,20
Anhui,05-03-2020,990,0,6,970,0.0,0,14
Anhui,06-03-2020,990,0,6,979,0.0,0,9
Anhui,07-03-2020,990,0,6,979,0.0,0,0
Anhui,08-03-2020,990,0,6,984,0.0,0,5
Anhui,09-03-2020,990,0,6,984,0.0,0,0
Anhui,10-03-2020,990,0,6,984,0.0,0,0
Anhui,11-03-2020,990,0,6,984,0.0,0,0
Anhui,12-03-2020,990,0,6,984,0.0,0,0
Anhui,13-03-2020,990,0,6,984,0.0,0,0
Anhui,14-03-2020,990,0,6,984,0.0,0,0
Anhui,15-03-2020,990,0,6,984,0.0,0,0
Beijing,22-01-2020,14,14,0,0,1.0,0,0
Beijing,23-01-2020,22,8,0,0,0.36363636363636365,0,0
Beijing,24-01-2020,36,14,0,1,0.3888888888888889,0,1
Beijing,25-01-2020,41,5,0,2,0.12195121951219512,0,1
Beijing,26-01-2020,68,27,0,2,0.39705882352941174,0,0
Beijing,27-01-2020,80,12,1,2,0.15,1,0
Beijing,28-01-2020,91,11,1,4,0.12087912087912088,0,2
Beijing,29-01-2020,111,20,1,4,0.18018018018018017,0,0
Beijing,30-01-2020,114,3,1,4,0.02631578947368421,0,0
Beijing,31-01-2020,139,25,1,5,0.17985611510791366,0,1
Beijing,01-02-2020,168,29,1,9,0.17261904761904762,0,4
Beijing,02-02-2020,191,23,1,9,0.12041884816753927,0,0
Beijing,03-02-2020,212,21,1,12,0.09905660377358491,0,3
Beijing,04-02-2020,228,16,1,23,0.07017543859649122,0,11
Beijing,05-02-2020,253,25,1,24,0.09881422924901186,0,1
Beijing,06-02-2020,274,21,1,31,0.07664233576642336,0,7
Beijing,07-02-2020,297,23,1,33,0.07744107744107744,0,2
Beijing,08-02-2020,315,18,2,34,0.05714285714285714,1,1
Beijing,09-02-2020,326,11,2,37,0.03374233128834356,0,3
Beijing,10-02-2020,337,11,2,44,0.032640949554896145,0,7
Beijing,11-02-2020,342,5,3,48,0.014619883040935672,1,4
Beijing,12-02-2020,352,10,3,56,0.028409090909090908,0,8
Beijing,13-02-2020,366,14,3,69,0.03825136612021858,0,13
Beijing,14-02-2020,372,6,3,80,0.016129032258064516,0,11
Beijing,15-02-2020,375,3,4,98,0.008,1,18
Beijing,16-02-2020,380,5,4,108,0.013157894736842105,0,10
Beijing,17-02-2020,381,1,4,114,0.0026246719160104987,0,6
Beijing,18-02-2020,387,6,4,122,0.015503875968992248,0,8
Beijing,19-02-2020,393,6,4,145,0.015267175572519083,0,23
Beijing,20-02-2020,395,2,4,153,0.005063291139240506,0,8
Beijing,21-02-2020,396,1,4,169,0.0025252525252525255,0,16
Beijing,22-02-2020,399,3,4,178,0.007518796992481203,0,9
Beijing,23-02-2020,399,0,4,189,0.0,0,11
Beijing,24-02-2020,399,0,4,198,0.0,0,9
Beijing,25-02-2020,400,1,4,215,0.0025,0,17
Beijing,26-02-2020,400,0,4,235,0.0,0,20
Beijing,27-02-2020,410,10,5,248,0.024390243902439025,1,13
Beijing,28-02-2020,410,0,7,257,0.0,2,9
Beijing,29-02-2020,411,1,8,271,0.0024330900243309003,1,14
Beijing,01-03-2020,413,2,8,276,0.004842615012106538,0,5
Beijing,02-03-2020,414,1,8,282,0.0024154589371980675,0,6
Beijing,03-03-2020,414,0,8,288,0.0,0,6
Beijing,04-03-2020,418,4,8,297,0.009569377990430622,0,9
